Event	ID	Name			Wwise Object Path	Notes
	275359745	Ambience_Cow			\Default Work Unit\Ambience_Cow	
	311033632	Ambience_Pig			\Default Work Unit\Ambience_Pig	
	317641954	ButtonPress			\Default Work Unit\ButtonPress	
	432469531	New_Open_Market			\Default Work Unit\New_Open_Market	
	1045388109	Ambience_Tractor			\Default Work Unit\Ambience_Tractor	
	1323090623	Upgrade			\Default Work Unit\Upgrade	
	2446376615	Destruction			\Default Work Unit\Destruction	
	2634775690	Construction			\Default Work Unit\Construction	
	3046831881	Ambience_Chicken			\Default Work Unit\Ambience_Chicken	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	58226309	Cow_FX	E:\Users\Rizwan\Documents\GitHub\DES310_Repo\Greener Pastures\.cache\Android\SFX\Cow_FX_FD6CF179.wem		\Actor-Mixer Hierarchy\Default Work Unit\Cow\Cow_FX		18987
	69855631	Chicken_FX	E:\Users\Rizwan\Documents\GitHub\DES310_Repo\Greener Pastures\.cache\Android\SFX\Chicken_FX_FD6CF179.wem		\Actor-Mixer Hierarchy\Default Work Unit\Chicken\Chicken_FX		15659
	147969968	Destruction_FX	E:\Users\Rizwan\Documents\GitHub\DES310_Repo\Greener Pastures\.cache\Android\SFX\Destruction_FX_FD6CF179.wem		\Actor-Mixer Hierarchy\Default Work Unit\Destruction_FX		14525
	176897255	Pig_FX	E:\Users\Rizwan\Documents\GitHub\DES310_Repo\Greener Pastures\.cache\Android\SFX\Pig_FX_FD6CF179.wem		\Actor-Mixer Hierarchy\Default Work Unit\Pig\Pig_FX		9349
	516583319	Button_FX	E:\Users\Rizwan\Documents\GitHub\DES310_Repo\Greener Pastures\.cache\Android\SFX\Button_FX_FD6CF179.wem		\Actor-Mixer Hierarchy\Default Work Unit\Button_FX		1465
	622556427	Tractor_Fixed_FX	E:\Users\Rizwan\Documents\GitHub\DES310_Repo\Greener Pastures\.cache\Android\SFX\Tractor_Fixed_FX_59836947.wem		\Actor-Mixer Hierarchy\Default Work Unit\Tractor_Fixed_FX		539171
	751774092	N_Market_FX	E:\Users\Rizwan\Documents\GitHub\DES310_Repo\Greener Pastures\.cache\Android\SFX\N_Market_FX_FD6CF179.wem		\Actor-Mixer Hierarchy\Default Work Unit\N_Market_FX		6128
	860197988	Upgrade_FX	E:\Users\Rizwan\Documents\GitHub\DES310_Repo\Greener Pastures\.cache\Android\SFX\Upgrade_FX_FD6CF179.wem		\Actor-Mixer Hierarchy\Default Work Unit\Upgrade_FX		6508
	1013786943	Construction2_FX	E:\Users\Rizwan\Documents\GitHub\DES310_Repo\Greener Pastures\.cache\Android\SFX\Construction2_FX_FD6CF179.wem		\Actor-Mixer Hierarchy\Default Work Unit\Construction2_FX		16054

