Event	ID	Name			Wwise Object Path	Notes
	317641954	ButtonPress			\Default Work Unit\ButtonPress	
	522020387	MenuSong			\Default Work Unit\MenuSong	
	589883976	Good_Ending			\Default Work Unit\Good_Ending	
	1045388109	Ambience_Tractor			\Default Work Unit\Ambience_Tractor	
	1411343306	DistributionMenu			\Default Work Unit\DistributionMenu	
	2067451325	OpenMarket			\Default Work Unit\OpenMarket	
	2222736396	Bad_Ending			\Default Work Unit\Bad_Ending	
	2446376615	Destruction			\Default Work Unit\Destruction	
	2634775690	Construction			\Default Work Unit\Construction	
	3752309239	Event_Sound			\Default Work Unit\Event_Sound	
	3850837052	Ambience_Birds			\Default Work Unit\Ambience_Birds	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	49601565	Sheep_FX	E:\Users\Rizwan\Documents\WwiseProjects\Greener Pastures\.cache\Windows\SFX\Sheep_FX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambient_Animal\Sheep_FX		360736
	58226309	Cow_FX	E:\Users\Rizwan\Documents\WwiseProjects\Greener Pastures\.cache\Windows\SFX\Cow_FX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambient_Animal\Cow_FX		360736
	69855631	Chicken_FX	E:\Users\Rizwan\Documents\WwiseProjects\Greener Pastures\.cache\Windows\SFX\Chicken_FX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambient_Animal\Chicken_FX		327616
	147969968	Destruction_FX	E:\Users\Rizwan\Documents\WwiseProjects\Greener Pastures\.cache\Windows\SFX\Destruction_FX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Destruction_FX		365664
	247433775	Distribution_FX	E:\Users\Rizwan\Documents\WwiseProjects\Greener Pastures\.cache\Windows\SFX\Distribution_FX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Distribution_FX		291760
	261544477	Ambience_FX	E:\Users\Rizwan\Documents\WwiseProjects\Greener Pastures\.cache\Windows\SFX\Ambience_FX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience_FX		16721816
	298103595	Marketplace_FX	E:\Users\Rizwan\Documents\WwiseProjects\Greener Pastures\.cache\Windows\SFX\Marketplace_FX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Marketplace_FX		572488
	344148873	Construction_FX	E:\Users\Rizwan\Documents\WwiseProjects\Greener Pastures\.cache\Windows\SFX\Construction_FX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Construction_FX		617464
	516583319	Button_FX	E:\Users\Rizwan\Documents\WwiseProjects\Greener Pastures\.cache\Windows\SFX\Button_FX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Button_FX		20328
	630696804	Event_FX	E:\Users\Rizwan\Documents\WwiseProjects\Greener Pastures\.cache\Windows\SFX\Event_FX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Event_FX		430872
	704761648	Tractor_FX	E:\Users\Rizwan\Documents\WwiseProjects\Greener Pastures\.cache\Windows\SFX\Tractor_FX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Tractor_FX		1704376
	813171452	BadEnding_FX	E:\Users\Rizwan\Documents\WwiseProjects\Greener Pastures\.cache\Windows\SFX\BadEnding_FX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BadEnding_FX		2457584
	901315954	GoodEnding_FX	E:\Users\Rizwan\Documents\WwiseProjects\Greener Pastures\.cache\Windows\SFX\GoodEnding_FX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\GoodEnding_FX		4925760
	1013786943	Construction2_FX	E:\Users\Rizwan\Documents\WwiseProjects\Greener Pastures\.cache\Windows\SFX\Construction2_FX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Construction2_FX		247584
	1056975954	MenuSong_FX	E:\Users\Rizwan\Documents\WwiseProjects\Greener Pastures\.cache\Windows\SFX\MenuSong_FX_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MenuSong_FX		12879164

